Благоприятные Белки,Благоприятные Овощи,Благоприятные Жиры,Благоприятные Фрукты,Благоприятные Крахмалы,Нежелательные Белки,Нежелательные Овощи,Нежелательные Жиры,Нежелательные Фрукты,Нежелательные Крахмалы
Бекон,Зеленый перц,Сливки,Бойзенова ягода,Овсяные хлопья,Чечевица,Брокколи,Кокосовое масло ,Абрикос,Цельнозерновой хлеб 
Тунец,Красный перец,,Груши,Лапша,Миндальное молоко ,Апельсиновый перец ,Грецкий орех,Яблоко ,Киноа 
Тофу,Репа,,Инжир,Коричневый рис,Куриная грудка ,Огурец,Миндаль ,Вишня,
Творог,Горох,,Нектаринs,Цельнозерновой Хлеб,Яйца,Сельдерей,Авокадо,Лимон,
Телятина,Цветная капуста,,Ананас,,Индейка,Свекла,,Манго,
Лосось,Капуста,,Слива,,Маш ,Баклажан,,Мускусная дыня,
Бобы,Лук репчатый,,Виноград,,Говядина,Кукуруза,,Маракуйя ,
,Спаржа,,Чернослив,,Сывороточный протеин,Салат латук,,Тыква,
,,,,,,Грибы,,Клубника ,
,,,,,,Кресс-салат ,,Ежевика,
,,,,,,Ревень,,Изюм,
,,,,,,Шпинат,,Фейхоа,
