Благоприятные Белки,Благоприятные Овощи,Благоприятные Жиры,Благоприятные Фрукты,Благоприятные Крахмалы,Нежелательные Белки,Нежелательные Овощи,Нежелательные Жиры,Нежелательные Фрукты,Нежелательные Крахмалы
Миндальное молоко,Апельсиновый перец,Кокосовое масло,Абрикос,Цельнозерновой Хлеб,Куриное бедрышко ,Желтый перец ,Нет нежелательных жиров,Лайм,Батат
Ягненок,Брокколи,Грецкий орех,Яблоко,Киноа ,Тунец,Морковь,,Виноград,Лапша
Яйца,Свекла,Миндаль,Вишня,,Рыба,Лук-порей,,Банан ,Сахар
Куриная грудка,Грибы,Авокадо,Лимон,,Лосось,Помидор,,Персик ,Картофель 
Говядина,Салат латук,,Манго,,Соевый протеин ,Капуста,,Финики,Пшеница
Индейка,Огурец,,Мускусная дыня,,Бобы,Цветная капуста  ,,Чернослив,Коричневый рис
Чечевица,Кукуруза,,Маракуйя,,Йогурт ,Зеленый перец ,,Апельсин,
Маш,Тыква,,Тыква,,Бекон,Репа,,Нектарин ,
Сывороточный протеин,Сельдерей,,Клубника,,Творог ,,,Слива,
,Баклажан,,Ежевика,,Тофу,,,,
,Кресс-салат,,Изюм,,,,,,
,Ревень,,Фейхоа,,,,,,
,Шпинат,,,,,,,,
