Благоприятные Белки,Благоприятные Овощи,Благоприятные Жиры,Благоприятные Фрукты,Благоприятные Крахмалы,Нежелательные Белки,Нежелательные Овощи,Нежелательные Жиры,Нежелательные Фрукты,Нежелательные Крахмалы
Чечевица,Брокколи,Кокосовое масло,Абрикос,Цельнозерновой Хлеб,Тунец,Горох,Сливки,Горох,Овсяные хлопья 
Миндальное молоко,Апельсиновый перец,Грецкий орех,Яблоко,Киноа ,Йогурт,Спаржа,,Бойзенова ягода,Картофель
Куриная грудка,Огурец,Миндаль,Вишня,,Куриное бедрышко ,Капуста,,Виноград,Цельнозерновой хлеб 
Яйца,Сельдерей,Авокадо,Лимон,,Вся рыба,Лук,,Апельсин,Лапша
Индейка,Свекла,,Манго,,Телятина,Желтый перец ,,Банан ,
Маш,Баклажан,,Мускусная дыня,,Лосось,Лук-порей,,Персик ,
Говядина,Кукуруза,,Маракуйя,,Бобы,Красный перец,,Инжир,
Сывороточный протеин,Салат латук,,Тыква,,,,,Чернослив ,
Ягненок,Грибы,,Клубника,,,,,Ананас,
,Кресс-салат,,Ежевика,,,,,,
,Ревень,,Изюм,,,,,,
,Шпинат,,Фейхоа,,,,,,
