Вареное приготовление,1,3,2,1,2,1,3,2,3,4,2,4
Тушеное приготовление,-1,-2,-3,2,0,2,0,3,0,4,2,4
Йогурт,5,2,1,3,2,4,2,5,0,5,3,2
Ряженка,3,4,2,4,2,1,3,2,3,2,4,3
Речная рыба нежирная,4,2,3,2,1,3,2,4,2,4,5,2
Кальмары,1,3,2,0,3,1,3,4,2,1,0,5
Арбуз,-5,-1,2,-4,0,3,2,-2,-3,2,0,5
Шпинат,-3,1,2,-1,-2,1,0,-2,0,3,2,-1
Слива,5,1,2,0,2,4,2,4,3,2,1,2
Черешня,5,1,3,1,2,1,1,3,5,3,1,3
Яблоки,-2,1,5,0,5,0,4,2,2,1,0,-4
Виноград,3,2,0,2,2,4,3,2,5,3,2,-1
Шоколад,4,1,3,1,0,-3,3,-2,-2,-3,0,-5
Чай зеленый,3,1,2,0,2,4,0,4,5,1,3,5
Орехи грецкие,3,1,2,2,3,2,3,5,3,2,5,5
