Вареное приготовление,5,2,1,0,3,2,0,5,3,4,2,2
Тушеное приготовление,4,-2,3,-1,-3,-5,-3,-4,0,2,3,5
Йогурт,0,5,3,5,1,2,0,-2,3,4,2,4
Ряженка,5,1,3,1,4,2,3,2,3,4,2,4
Речная рыба нежирная,5,1,3,1,3,1,3,2,3,4,2,4
Кальмары,5,3,2,3,2,0,-1,3,2,0,3,-2
Арбуз,-3,2,0,-3,2,0,-4,2,3,1,-2,0
Шпинат,2,1,0,1,3,4,2,4,2,4,2,0
Слива,2,1,-2,3,2,0,-3,2,3,-4,2,4
Черешня,5,1,3,2,3,4,2,4,2,4,2,0
Яблоки,1,0,3,1,3,2,4,4,5,4,2,1
Виноград,2,1,5,1,5,3,2,1,5,4,2,4
Шоколад,-3,2,1,-3,5,0,3,-4,2,1,3,-2
Чай зеленый,2,1,2,5,2,4,0,4,0,5,3,2
Орехи грецкие,5,3,1,3,2,4,0,4,5,4,5,2
